0;Fields group;Management of the resource;;;;;;;;;;;;Metadata of the text (description of item);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Link(s) to related resources;;;;;;;;;;;;;
0;;;;;;;;;;;;;;;;;;;;;Text type;;;;Language(s) and script(s);;;;;;;;;;;;Physical form;;;;;;;;;;;Filiation;;;;;;;Rights;;;;;;;;;;;;;;;
0;Fields;Identifier of the resource;Origin of the metadata;Editor of the metadata;Date of the edition;Contributor of the metadata;Date of contribution;Type of contribution;Reviewer;Date of review;Project;Corpus;Distribution rights of the metadata;Identifier of the text;Designation;Alternative identifier;Alternative designation;Alternative designation;Location on the artefact/conglomerate artefact/monument;ID of the artefact/conglomerate artefact/monument;Text type 1;Text type 2;Text type 3;Text type 4;Language 1;Script classification 1;Script maturity 1;Language 2;Script classification 2;Script maturity 2;Language 3;Script classification 3;Script maturity 3;Language 4;Script classification 4;Script maturity 4;Lettering technique;Lines (observed);Lines (estimated);Lines per zone(s);Dimensions of text zone(s);Height of glyph;Width of glyph;Date CE;Date interval CE;Date precision;Date evidence;Duplicate ID;Reissue ID;Reissue date;Bibliographical references (primary);Bibliographical references (secondary);Keyword(s);Remarks;Project responsible for publication;Distribution rights of the text;Identifier of the surrogate;Identifier of the digital image;;;;;;;;;;;;
;;INSCIC00130;Inventaire EFEO des inscriptions du Campa;argr;2021-11-19;;;;;;DHARMA;CIC;CC0;INSCIC00130;;C. 130;;;;ARTCIC000130;;;;;Sanskrit;;;;;;;;;;;;engraved;;1;;;;;;;;;;;;;BEFEO XI, 473.;;;DHARMA;CC-BY 4.0;;;;;;;;;;;;;;
;;INSCIC00131;Inventaire EFEO des inscriptions du Campa;argr;2021-11-19;;;;;;DHARMA;CIC;CC0;INSCIC00131;;C. 131;;;;ARTCIC000131;;;;;Old Cham;;;;;;;;;;;;engraved;;3 1/2;;;;;;;;;;;;;BEFEO XI, 474.;;;DHARMA;CC-BY 4.0;;;;;;;;;;;;;;
;;INSCIC00132;Inventaire EFEO des inscriptions du Campa;argr;2021-11-19;;;;;;DHARMA;CIC;CC0;INSCIC00132;;C. 132;;;;ARTCIC000132;Inscription rupestre;;;;Old Cham;;;;;;;;;;;;engraved;;10;;;;;;;;;;;;;BEFEO IX, 413, 618. — Madrolle, Indochine du Sud, p. 215;;;DHARMA;CC-BY 4.0;;;;;;;;;;;;;;
;;INSCIC00133;Inventaire EFEO des inscriptions du Campa;argr;2021-11-19;;;;;;DHARMA;CIC;CC0;INSCIC00133;;C. 133;;;;ARTCIC000133;;;;;Old Cham;;;;;;;;;;;;engraved;;3;;;;;;;;;;;;;BEFEO XI, 474.;;see correction Finot in his copy of inventory.;DHARMA;CC-BY 4.0;;;;;;;;;;;;;;
;;INSCIC00134;Inventaire EFEO des inscriptions du Campa;argr;2021-11-19;;;;;;DHARMA;CIC;CC0;INSCIC00134;;C. 134;;;Dos d'une statue de Buddha;ARTCIC000134;;;;;Sanskrit;;;;;;;;;;;;engraved;;;;;;;;;;;;;;;Parmentier1909_01: 244.;;ye dharmāḥ inscription according to Parmentier. Estampage 347 pas retrouvé.;DHARMA;CC-BY 4.0;;;;;;;;;;;;;;
;;INSCIC00135;Inventaire EFEO des inscriptions du Campa;argr;2021-11-19;;;;;;DHARMA;CIC;CC0;INSCIC00135;;C. 135;;;;ARTCIC000135;Inscription rupestre;;;;Sanskrit;;;;;;;;;;;;engraved;;2;;;;;;;;;;;;BEFEO XI, 261.;;;Une photo de cette inscription (au complet!) se trouve avec l'estampage n. 260. Extra photo provided by TKP. L'estampage même ne couvre que la première ligne.;DHARMA;CC-BY 4.0;;;;;;;;;;;;;;
;;INSCIC00136;Inventaire EFEO des inscriptions du Campa;argr;2021-11-19;;;;;;DHARMA;CIC;CC0;INSCIC00136;;C. 136;;;;ARTCIC000136;;;;;Sanskrit;;;;;;;;;;;;engraved;;2;;;;;;;;;;;;BEFEO XI, 262. — ECIC V, ??.;"Finot1915_01: 18; XXVIII, 167.";;;DHARMA;CC-BY 4.0;;;;;;;;;;;;;;
;;INSCIC00137;Inventaire EFEO des inscriptions du Campa;argr;2021-11-19;;;;;;DHARMA;CIC;CC0;INSCIC00137;;C. 137;;;;ARTCIC000137;;;;;Sanskrit;;;;;;;;;;;;engraved;;4;;;;;;;;;;;;BEFEO XI, 262.;Finot1915_01: 17.;;;DHARMA;CC-BY 4.0;;;;;;;;;;;;;;
;;INSCIC00138;Inventaire EFEO des inscriptions du Campa;argr;2021-11-19;sapi;2022-02-03;completion;;;DHARMA;CIC;CC0;INSCIC00138;;C. 138;;;front (A) and back (B);ARTCIC000138;inaugurative - contruction_religious_building;;;;Sanskrit;brahmi_and_derivatives - southeast_asian_brahmi - cam_script;vernacular Brahmi-derived script;Old Cham;brahmi_and_derivatives - southeast_asian_brahmi - cam_script;vernacular Brahmi-derived script;;;;;;;engraved;23;23;A:14§B:9;;;;;902-903;low;internal date;;;;Huber1911_01: 277-282;Finot1915_01: 15$Parmentier1923_01: 274$Coedes1923_01: 30-31 (no. 138)$Majumdar1927_01: part III, 105-109$Golzio2004_01: 89-92;;;DHARMA;CC-BY 4.0;;;;;;;;;;;;;;
;;INSCIC00138_3;Inventaire EFEO des inscriptions du Campa;argr;2021-11-19;;;;;;DHARMA;CIC;CC0;INSCIC00138_3;;C. 138;;;B2;ARTCIC000138;;;;;Old Cham;;;;;;;;;;;;engraved;;2;;;;;;;;;;;;BEFEO XI, 277.;"Finot1915_01: 15; XXIII, 271.";;;DHARMA;CC-BY 4.0;;;;;;;;;;;;;;
;;INSCIC00138_2;Inventaire EFEO des inscriptions du Campa;argr;2021-11-19;;;;;;DHARMA;CIC;CC0;INSCIC00138_2;;C. 138;;;B1;ARTCIC000138;;;;;Sanskrit;;;;;;;;;;;;engraved;;7;;;;;;;;;;;;BEFEO XI, 277.;"Finot1915_01: 15; XXIII, 271.";;;DHARMA;CC-BY 4.0;;;;;;;;;;;;;;
;;INSCIC00138_1;Inventaire EFEO des inscriptions du Campa;argr;2021-11-19;;;;;;DHARMA;CIC;CC0;INSCIC00138_1;;C. 138;;;A;ARTCIC000138;;;;;Sanskrit;;;;;;;;;;;;engraved;;13+1;;;;;;;;;;;;BEFEO XI, 277.;"Finot1915_01: 15; XXIII, 271.";;;DHARMA;CC-BY 4.0;;;;;;;;;;;;;;
;;INSCIC00139;Inventaire EFEO des inscriptions du Campa;argr;2021-11-19;sapi;2022-02-03;completion;;;DHARMA;CIC;CC0;INSCIC00139;;C. 139;;;;ARTCIC000139;administrative/legal - royal_order - tax_regulation;;;;Old Cham;brahmi_and_derivatives - southeast_asian_brahmi - cam_script;vernacular Brahmi-derived script;;;;;;;;;;engraved;10;10;10;42,5x57;1,5;1;;875-1000;low;context;;;;Huber1911_02: 10;Finot1915_01: 15$Coedes1923_01: 32-33 (no. 139)$Majumdar1927_01: part III, 92-93$Golzio2004_01: 77-78;;;DHARMA;CC-BY 4.0;;;;;;;;;;;;;;
;;INSCIC00140;Inventaire EFEO des inscriptions du Campa;argr;2021-11-19;sapi;2022-02-04;completion;;;DHARMA;CIC;CC0;INSCIC00140;;C. 140;;;front (A) and back (B);ARTCIC000140;donative - religious_land_grant;;;;Old Cham;brahmi_and_derivatives - southeast_asian_brahmi - cam_script;vernacular Brahmi-derived script;;;;;;;;;;engraved;47;47;A: 25§B: 22;;;;;977-978;low;internal date;;;;;Finot1915_01: 14-15$Coedes1923_01: 32-33 (no. 140)$Majumdar1927_01: part III, 175$Golzio2004_01: 149;;"AG reads 899 as a date instead of 1033; text presented in three paragraphs (10+4+7 lines); name of the sanctuary where the stele is located:";DHARMA;CC-BY 4.0;;;;;;;;;;;;;;
;;INSCIC00140_1;Inventaire EFEO des inscriptions du Campa;argr;2021-11-19;;;;;;DHARMA;CIC;CC0;INSCIC00140_1;;C. 140;;;A;ARTCIC000140;;;;;Old Cham;;;;;;;;;;;;engraved;;25;;;;;;;;;;;;;BEFEO XI, 15.;;"AG lit plutôt 899 comme date; texte présenté en trois paragraphes (10+4+7 lignes); nom du sanctuaire où se trouve la stèle:";DHARMA;CC-BY 4.0;;;;;;;;;;;;;;
;;INSCIC00140_2;Inventaire EFEO des inscriptions du Campa;argr;2021-11-19;;;;;;DHARMA;CIC;CC0;INSCIC00140_2;;C. 140;;;B;ARTCIC000140;;;;;Old Cham;;;;;;;;;;;;engraved;;22;;;;;;;;;;;;;BEFEO XI, 15.;;;DHARMA;CC-BY 4.0;;;;;;;;;;;;;;
;;INSCIC00141;Inventaire EFEO des inscriptions du Campa;argr;2021-11-19;sapi;2022-02-10;completion;;;DHARMA;CIC;CC0;INSCIC00141;;C. 141;;;front (A) and back (B);ARTCIC000141;inaugurative;;;;Sanskrit;brahmi_and_derivatives - southeast_asian_brahmi - cam_script;vernacular Brahmi-derived script;Old Cham;brahmi_and_derivatives - southeast_asian_brahmi - cam_script;vernacular Brahmi-derived script;;;;;;;engraved;33;33;A:16§B:17;A:76,5x 47,5$B:70x47 ;1,5;1;;875-977;low;internal date;;;;Huber1911_02: 5-10;Huber1911_01: 269$Finot1915_01: 15$Coedes1923_01: 32-33 (no. 141)$Majumdar1927_01: part III, 125-129$Golzio2004_01: 94-97;;;DHARMA;CC-BY 4.0;est_EFEO_00154a$est_EFEO_n00154b;;;;;;;;;;;;;
;;INSCIC00141_1;Inventaire EFEO des inscriptions du Campa;argr;2021-11-19;;;;;;DHARMA;CIC;CC0;INSCIC00141_1;;C. 141;;;A;ARTCIC000141;;;;;Sanskrit;;;;;;;;;;;;engraved;;15;;;;;;;;;;;;BEFEO XI, 5, 269.;Finot1915_01: 15.;;;DHARMA;CC-BY 4.0;;;;;;;;;;;;;;
;;INSCIC00141_2;Inventaire EFEO des inscriptions du Campa;argr;2021-11-19;;;;;;DHARMA;CIC;CC0;INSCIC00141_2;;C. 141;;;B1;ARTCIC000141;;;;;Sanskrit;;;;;;;;;;;;engraved;;16;;;;;;;;;;;;BEFEO XI, 5, 269.;Finot1915_01: 15.;;;DHARMA;CC-BY 4.0;;;;;;;;;;;;;;
;;INSCIC00141_3;Inventaire EFEO des inscriptions du Campa;argr;2021-11-19;;;;;;DHARMA;CIC;CC0;INSCIC00141_3;;C. 141;;;B2;ARTCIC000141;;;;;Old Cham;;;;;;;;;;;;engraved;;1;;;;;;;;;;;;BEFEO XI, 5, 269.;Finot1915_01: 15.;;;DHARMA;CC-BY 4.0;;;;;;;;;;;;;;
;;INSCIC00142;Inventaire EFEO des inscriptions du Campa;argr;2021-11-19;sapi;2022-02-11;completion;;;DHARMA;CIC;CC0;INSCIC00142;;C. 142;;;front (A), back (B) and sides (c, d) ;ARTCIC000142;inaugurative - installation_religious_image;;;;Sanskrit;brahmi_and_derivatives - southeast_asian_brahmi - cam_script;vernacular Brahmi-derived script;Old Cham;brahmi_and_derivatives - southeast_asian_brahmi - cam_script;vernacular Brahmi-derived script;;;;;;;engraved;85;85;A:18§B:21§c:20§d:26;;;;;909-910;low;internal date;;;;Huber1911_01: 285-298;Finot1915_01: 16-17$Coedes1923_01: 32-33 (no. 141)$Parmentier1923_01: 274$Finot1927_01: 306-307$Majumdar1927_01: part III, 111-121$Finot1928_03: 290 n.1$Golzio2004_01: 97-106;;nombre de lignes inv. 1942 peut-être incorrecte;DHARMA;CC-BY 4.0;est_EFEO_00157;;;;;;;;;;;;;
;;INSCIC00142_3;Inventaire EFEO des inscriptions du Campa;argr;2021-11-19;;;;;;DHARMA;CIC;CC0;INSCIC00142_3;;C. 142;;;c;ARTCIC000142;;;;;Sanskrit;;;;;;;;;;;;engraved;;17;;;;;;;;;;;;BEFEO XI, 285.;Finot1915_01: 16.;;nombre de lignes inv. 1942 peut-être incorrecte;DHARMA;CC-BY 4.0;;;;;;;;;;;;;;
;;INSCIC00142_1;Inventaire EFEO des inscriptions du Campa;argr;2021-11-19;;;;;;DHARMA;CIC;CC0;INSCIC00142_1;;C. 142;;;A;ARTCIC000142;;;;;Sanskrit;;;;;;;;;;;;engraved;;18;;;;;;;;;;;;BEFEO XI, 285.;Finot1915_01: 16.;;nombre de lignes inv. 1942 peut-être incorrecte;DHARMA;CC-BY 4.0;;;;;;;;;;;;;;
;;INSCIC00142_2;Inventaire EFEO des inscriptions du Campa;argr;2021-11-19;;;;;;DHARMA;CIC;CC0;INSCIC00142_2;;C. 142;;;B;ARTCIC000142;;;;;Sanskrit;;;;;;;;;;;;engraved;;19;;;;;;;;;;;;BEFEO XI, 285.;Finot1915_01: 16.;;nombre de lignes inv. 1942 peut-être incorrecte;DHARMA;CC-BY 4.0;;;;;;;;;;;;;;
;;INSCIC00142_4;Inventaire EFEO des inscriptions du Campa;argr;2021-11-19;;;;;;DHARMA;CIC;CC0;INSCIC00142_4;;C. 142;;;d;ARTCIC000142;;;;;Sanskrit;;;;;;;;;;;;engraved;;19;;;;;;;;;;;;BEFEO XI, 285.;Finot1915_01: 16.;;nombre de lignes inv. 1942 peut-être incorrecte;DHARMA;CC-BY 4.0;;;;;;;;;;;;;;
;;INSCIC00143;Inventaire EFEO des inscriptions du Campa;argr;2021-11-19;;;;;;DHARMA;CIC;CC0;INSCIC00143;;C. 143;;;;ARTCIC000143;;;;;Old Cham;;;;;;;;;;;;engraved;;1;;;;;;;;;;;;BEFEO 95-96, 477;BEFEO XI, 4714. — BCAI 1912, 2111.;;;DHARMA;CC-BY 4.0;;;;;;;;;;;;;;
;;INSCIC00144;Inventaire EFEO des inscriptions du Campa;argr;2021-11-19;;;;;;DHARMA;CIC;CC0;INSCIC00144;;C. 144;;;;ARTCIC000144;;;;;Sanskrit;;;;;;;;;;;;incised;;1;;;;;;;;;;;;BEFEO XI, 4715. — BCAI 1912, 2122.;;;;DHARMA;CC-BY 4.0;;;;;;;;;;;;;;
;;INSCIC00145;Inventaire EFEO des inscriptions du Campa;argr;2021-11-19;;;;;;DHARMA;CIC;CC0;INSCIC00145;;C. 145;;;;ARTCIC000145;;;;;Sanskrit;;;;;;;;;;;;incised;;1;;;;;;;;;;;;BEFEO XI, 4716. — BCAI 1912, 2123.;;;;DHARMA;CC-BY 4.0;;;;;;;;;;;;;;
;;INSCIC00146;Inventaire EFEO des inscriptions du Campa;argr;2021-11-19;;;;;;DHARMA;CIC;CC0;INSCIC00146;;C. 146;;;;ARTCIC000146;;;;;Old Cham;;;;;;;;;;;;engraved;;13;;;;;;;;;;;;;Parmentier1909_01: 335.;;;DHARMA;CC-BY 4.0;;;;;;;;;;;;;;
;;INSCIC00147;Inventaire EFEO des inscriptions du Campa;argr;2021-11-19;;;;;;DHARMA;CIC;CC0;INSCIC00147;;C. 147;;;;ARTCIC000147;Inscription rupestre;;;;Sanskrit;;;;;;;;;;;;engraved;;4;;;;;;;;;;;;BEFEO XVIII (10), 13, 58.;La photo de la Fondation Lerici publiée Champa and the Archaeology of My Son, p. 198, appartient à cette inscription et pas a C. 105.;;Cœdès 1923, p. 151 n. 7 : « C. 147. — L'ancien n° 147, faisant double emploi avec n° 111, a été remplacé par une inscription nouvellement découverte. — De la province de Quảng Nam proviennent encore deux inscriptions illisibles : une stèle à quatre faces (Hanoi, B 2, 33 = est. n. 40) et un linteau (Hanoi, B 2, 34 = est. n. 41 et n. 161). »;DHARMA;CC-BY 4.0;;;;;;;;;;;;;;
;;INSCIC00148_2;Inventaire EFEO des inscriptions du Campa;argr;2021-11-19;;;;;;DHARMA;CIC;CC0;INSCIC00148_2;;C. 148;;;b1;ARTCIC000148;;;;;Old Cham;;;;;;;;;;;;engraved;;3;;;;;;;;;;;;BEFEO XI, 15, 268.;Nguyễn Văn Quảng 2012: 65.;;Nous adoptons la date proposée par Majumdar. Huber est du coup Cœdès n'ont pas correctement représentée la repartition des langues et lignes sur la face b.;DHARMA;CC-BY 4.0;;;;;;;;;;;;;;
;;INSCIC00148_6;Inventaire EFEO des inscriptions du Campa;argr;2021-11-19;;;;;;DHARMA;CIC;CC0;INSCIC00148_6;;C. 148;;;d;ARTCIC000148;;;;;Old Cham;;;;;;;;;;;;engraved;;12;;;;;;;;;;;;BEFEO XI, 15, 268.;Nguyễn Văn Quảng 2012: 65.;;La 12e ligne est encastrée, et fut déjà largement dommagée quand est. 694 a été réalisé.;DHARMA;CC-BY 4.0;;;;;;;;;;;;;;
;;INSCIC00148_1;Inventaire EFEO des inscriptions du Campa;argr;2021-11-19;;;;;;DHARMA;CIC;CC0;INSCIC00148_1;;C. 148;;;A;ARTCIC000148;;;;;Sanskrit;;;;;;;;;;;;engraved;;14;;;;;;;;;;;;BEFEO XI, 15, 268.;Nguyễn Văn Quảng 2012: 65.;;Nous adoptons la date proposée par Majumdar.;DHARMA;CC-BY 4.0;;;;;;;;;;;;;;
;;INSCIC00148_5;Inventaire EFEO des inscriptions du Campa;argr;2021-11-19;;;;;;DHARMA;CIC;CC0;INSCIC00148_5;;C. 148;;;C;ARTCIC000148;;;;;Old Cham;;;;;;;;;;;;engraved;;14;;;;;;;;;;;;BEFEO XI, 15, 268.;Nguyễn Văn Quảng 2012: 65.;;Nous adoptons la date proposée par Majumdar.;DHARMA;CC-BY 4.0;;;;;;;;;;;;;;
;;INSCIC00148_3;Inventaire EFEO des inscriptions du Campa;argr;2021-11-19;;;;;;DHARMA;CIC;CC0;INSCIC00148_3;;C. 148;;;b2;ARTCIC000148;;;;;Sanskrit;;;;;;;;;;;;engraved;;7.5;;;;;;;;;;;;BEFEO XI, 15, 268.;Nguyễn Văn Quảng 2012: 65.;;Nous adoptons la date proposée par Majumdar. Huber est du coup Cœdès n'ont pas correctement représentée la repartition des langues et lignes sur la face b.;DHARMA;CC-BY 4.0;;;;;;;;;;;;;;
;;INSCIC00148_4;Inventaire EFEO des inscriptions du Campa;argr;2021-11-19;;;;;;DHARMA;CIC;CC0;INSCIC00148_4;;C. 148;;;b3;ARTCIC000148;;;;;Old Cham;;;;;;;;;;;;engraved;;6.5;;;;;;;;;;;;BEFEO XI, 15, 268.;Nguyễn Văn Quảng 2012: 65.;;Nous adoptons la date proposée par Majumdar. Huber est du coup Cœdès n'ont pas correctement représentée la repartition des langues et lignes sur la face b.;DHARMA;CC-BY 4.0;;;;;;;;;;;;;;
;;INSCIC00149_1;Inventaire EFEO des inscriptions du Campa;argr;2021-11-19;;;;;;DHARMA;CIC;CC0;INSCIC00149_1;;C. 149;;;A;ARTCIC000149;;;;;Sanskrit;;;;;;;;;;;;engraved;;14;;;;;;;;;;;;BEFEO XI, 299.;Finot1915_01: 16.;;;DHARMA;CC-BY 4.0;;;;;;;;;;;;;;
;;INSCIC00149_2;Inventaire EFEO des inscriptions du Campa;argr;2021-11-19;;;;;;DHARMA;CIC;CC0;INSCIC00149_2;;C. 149;;;B;ARTCIC000149;;;;;Sanskrit;;;;;;;;;;;;engraved;;14;;;;;;;;;;;;BEFEO XI, 299.;Finot1915_01: 16.;;;DHARMA;CC-BY 4.0;;;;;;;;;;;;;;
;;INSCIC00149_3;Inventaire EFEO des inscriptions du Campa;argr;2021-11-19;;;;;;DHARMA;CIC;CC0;INSCIC00149_3;;C. 149;;;C;ARTCIC000149;;;;;Sanskrit;;;;;;;;;;;;engraved;;11;;;;;;;;;;;;BEFEO XI, 299.;Finot1915_01: 16.;;;DHARMA;CC-BY 4.0;;;;;;;;;;;;;;
;;INSCIC00149_4;Inventaire EFEO des inscriptions du Campa;argr;2021-11-19;;;;;;DHARMA;CIC;CC0;INSCIC00149_4;;C. 149;;;D;ARTCIC000149;;;;;Old Cham;;;;;;;;;;;;engraved;;12;;;;;;;;;;;;BEFEO XI, 299.;Finot1915_01: 16.;;;DHARMA;CC-BY 4.0;;;;;;;;;;;;;;
;;INSCIC00150;Inventaire EFEO des inscriptions du Campa;argr;2021-11-19;;;;;;DHARMA;CIC;CC0;INSCIC00150;;C. 150;;;;ARTCIC000150;;;;;Sanskrit;;;;;;;;;;;;engraved;;4;;;;;IXe;;;;;;;BEFEO XI, 267. — ICDN, 235.;JA 1908 (2), 331. — Parmentier1909_01: 550. — Majumdar1927_02: 225-226 (no. 123);;"l'estampage 843 est encré; orthographe Rồn dans inv. Cœdès semble avoir été une erreur.";DHARMA;CC-BY 4.0;;;;;;;;;;;;;;
;;INSCIC00151;Inventaire EFEO des inscriptions du Campa;argr;2021-11-19;;;;;;DHARMA;CIC;CC0;INSCIC00151;;C. 151;;;;ARTCIC000151;;;;;Old Cham;;;;;;;;;;;;engraved;;2;;;;;;;;;;;;;Finot1915_01: 18.;;;DHARMA;CC-BY 4.0;;;;;;;;;;;;;;
;;INSCIC00152_1;Inventaire EFEO des inscriptions du Campa;argr;2021-11-19;;;;;;DHARMA;CIC;CC0;INSCIC00152_1;;C. 152;;;A, Droite de la bordure de bas-relief;ARTCIC000152;;;;;Old Cham;;;;;;;;;;;;engraved;;1;;;;;;;;;;;;;"Finot1915_01: 192 ; XIX (3), 102. — Parmentier1909_01: 572.";;Le même cote 45, 2 se trouve attribué aussi à C. 166. Il s'agit d'une seule pièce d'angle portant deux bas reliefs avec une ligne d'inscription chacun. Annuler C. 166. Indice A/B convient?;DHARMA;CC-BY 4.0;;;;;;;;;;;;;;
;;INSCIC00152_2;Inventaire EFEO des inscriptions du Campa;argr;2021-11-19;;;;;;DHARMA;CIC;CC0;INSCIC00152_2;;C. 152;;;B, Gauche de la bordure de bas-relief;ARTCIC000152;;;;;Old Cham;;;;;;;;;;;;engraved;;1;;;;;;;;;;;;;"Finot1915_01: 192 ; XIX (3), 102. — Parmentier1909_01: 572.";;Le même cote 45, 2 se trouve attribué aussi à C. 166. Il s'agit d'une seule pièce d'angle portant deux bas reliefs avec une ligne d'inscription chacun. Annuler C. 166. Indice A/B convient?;DHARMA;CC-BY 4.0;;;;;;;;;;;;;;
;;INSCIC00153;Inventaire EFEO des inscriptions du Campa;argr;2021-11-19;;;;;;DHARMA;CIC;CC0;INSCIC00153;;C. 153;;;;ARTCIC000153;;;;;Old Cham;;;;;;;;;;;;engraved;;17;;;;;;;;;;;;;"BEFEO XVIII (10), 56 ; XIX (3), 12.";;;DHARMA;CC-BY 4.0;;;;;;;;;;;;;;
;;INSCIC00154;Inventaire EFEO des inscriptions du Campa;argr;2021-11-19;;;;;;DHARMA;CIC;CC0;INSCIC00154;;C. 154;;;;ARTCIC000154;Inscription rupestre;;;;;;;;;;;;;;;;engraved;;;;;;;;;;;;;;;BEFEO XVIII (1), 58.;;;DHARMA;CC-BY 4.0;;;;;;;;;;;;;;
;;INSCIC00155;Inventaire EFEO des inscriptions du Campa;argr;2021-11-19;;;;;;DHARMA;CIC;CC0;INSCIC00155;;C. 155;;;;ARTCIC000155;;;;;;;;;;;;;;;;;engraved;;3;;;;;;;;;;;;;BEFEO XIX (3), 11.;;;DHARMA;CC-BY 4.0;;;;;;;;;;;;;;
;;INSCIC00156;Inventaire EFEO des inscriptions du Campa;argr;2021-11-19;;;;;;DHARMA;CIC;CC0;INSCIC00156;;C. 156;;;;ARTCIC000156;;;;;Old Cham;;;;;;;;;;;;engraved;;3;;;;;;;;;;;;;"BEFEO 23: 273; AVS 2009: 34-35";;;DHARMA;CC-BY 4.0;;;;;;;;;;;;;;
;;INSCIC00157;Inventaire EFEO des inscriptions du Campa;argr;2021-11-19;;;;;;DHARMA;CIC;CC0;INSCIC00157;;C. 157;;;Bordure de bas-relief;ARTCIC000157;;;;;;;;;;;;;;;;;engraved;;1;;;;;;;;;;;;;Parmentier1909_01: 333, n° 26. — BEFEO XIX (3), 102. — BEFEO 95-96, 449.;;;DHARMA;CC-BY 4.0;;;;;;;;;;;;;;
;;INSCIC00158;Inventaire EFEO des inscriptions du Campa;argr;2021-11-19;;;;;;DHARMA;CIC;CC0;INSCIC00158;;C. 158;;;;ARTCIC000158;;;;;;;;;;;;;;;;;engraved;;4;;;;;;;;;;;;;;;;DHARMA;CC-BY 4.0;;;;;;;;;;;;;;
;;INSCIC00159;Inventaire EFEO des inscriptions du Campa;argr;2021-11-19;;;;;;DHARMA;CIC;CC0;INSCIC00159;;C. 159;;;;ARTCIC000159;Inscription et graffito;;;;Old Cham;;;;;;;;;;;;engraved;;3;;;;;;;;;;;;;;;;DHARMA;CC-BY 4.0;;;;;;;;;;;;;;
;;INSCIC00160_2;Inventaire EFEO des inscriptions du Campa;argr;2021-11-19;;;;;;DHARMA;CIC;CC0;INSCIC00160_1;;C. 160;;;2;ARTCIC000160;Inscription rupestre;;;;;;;;;;;;;;;;engraved;;2;;;;;;;;;;;;;;;;DHARMA;CC-BY 4.0;;;;;;;;;;;;;;
;;INSCIC00160_3;Inventaire EFEO des inscriptions du Campa;argr;2021-11-19;;;;;;DHARMA;CIC;CC0;INSCIC00160_2;;C. 160;;;1;ARTCIC000160;Inscription rupestre;;;;;;;;;;;;;;;;engraved;;6;;;;;;;;;;;;;;;;DHARMA;CC-BY 4.0;;;;;;;;;;;;;;
;;INSCIC00161;Inventaire EFEO des inscriptions du Campa;argr;2021-11-19;;;;;;DHARMA;CIC;CC0;INSCIC00161;;C. 161;;;Dos d'une statue de Śiva assis sur taureau;ARTCIC000161;;;;;Old Cham;;;;;;;;;;;;engraved;;7;;;;;;;;;;;;;IC I [1937], p. 311.;;;DHARMA;CC-BY 4.0;;;;;;;;;;;;;;
;;INSCIC00162;Inventaire EFEO des inscriptions du Campa;argr;2021-11-19;;;;;;DHARMA;CIC;CC0;INSCIC00162;;C. 162;;;;ARTCIC000162;;;;;Old Cham;;;;;;;;;;;;engraved;;2;;;;;;;;;;;;;;;;DHARMA;CC-BY 4.0;;;;;;;;;;;;;;
;;INSCIC00163;Inventaire EFEO des inscriptions du Campa;argr;2021-11-19;;;;;;DHARMA;CIC;CC0;INSCIC00163;;C. 163;;;;ARTCIC000163;Graffiti;;;;;;;;;;;;;;;;engraved;;;;;;;;;;;;;;;;;;DHARMA;CC-BY 4.0;;;;;;;;;;;;;;
;;INSCIC00164;Inventaire EFEO des inscriptions du Campa;argr;2021-11-19;;;;;;DHARMA;CIC;CC0;INSCIC00164;;C. 164;;;;ARTCIC000164;Inscription rupestre;;;;;;;;;;;;;;;;engraved;;1 ligne sur trois faces;;;;;;;;;;;;;;;;DHARMA;CC-BY 4.0;;;;;;;;;;;;;;
;;INSCIC00165;Inventaire EFEO des inscriptions du Campa;argr;2021-11-19;;;;;;DHARMA;CIC;CC0;INSCIC00165;;C. 165;;;;ARTCIC000165;Inscription rupestre;;;;;;;;;;;;;;;;engraved;;;;;;;;;;;;;;;;;;DHARMA;CC-BY 4.0;;;;;;;;;;;;;;
;;INSCIC00166;Inventaire EFEO des inscriptions du Campa;argr;2021-11-19;;;;;;DHARMA;CIC;CC0;INSCIC00166;;C. 166;;;;ARTCIC000166;;;;;;;;;;;;;;;;;engraved;;;;;;;;;;;;;;;"Parmentier1909_01: 572 ; BEFEO XIX (3), 102.";;Quelques mots frustes sur un bas-relief;DHARMA;CC-BY 4.0;;;;;;;;;;;;;;
;;INSCIC00167_1;Inventaire EFEO des inscriptions du Campa;argr;2021-11-19;;;;;;DHARMA;CIC;CC0;INSCIC00167_1;;C. 167;;;A;ARTCIC000167;;;;;Sanskrit;;;;;;;;;;;;engraved;;3;;;;;;;;;;;;;"BEFEO XIX (5), 103; XXVII, 460.";;;DHARMA;CC-BY 4.0;;;;;;;;;;;;;;
;;INSCIC00167_2;Inventaire EFEO des inscriptions du Campa;argr;2021-11-19;;;;;;DHARMA;CIC;CC0;INSCIC00167_2;;C. 167;;;B;ARTCIC000167;;;;;Sanskrit;;;;;;;;;;;;engraved;;3;;;;;;;;;;;;;"BEFEO XIX (5), 103; XXVII, 460.";;;DHARMA;CC-BY 4.0;;;;;;;;;;;;;;
